complaint_text,product_area,root_cause_label,capa_summary
"Incoming batch of steel fasteners failed tensile strength testing — 23% below spec tolerance. Supplier lot #BT-4421.",Fasteners,supplier_defect,"Issued SCAR to supplier. Quarantined remaining lot. Added incoming tensile test to sampling plan."
"Rubber O-rings received from vendor showed visible surface cracks before installation. Entire shipment rejected.",Sealing Components,supplier_defect,"Returned shipment to supplier. Requested root cause report within 14 days. Added visual inspection at dock."
"PCB boards from Supplier B have incorrect trace routing — does not match approved Gerber files revision 3.2.",Electronics,supplier_defect,"Quarantined 500 boards. Issued deviation report. Supplier re-qualified with updated Gerber file verification step."
"Adhesive bonding agent received with expired shelf life — 3 months past use-by date on 40% of containers.",Adhesives,supplier_defect,"Rejected lot. Updated purchasing PO to require min 6-month shelf life at delivery. Supplier issued credit."
"Aluminum extrusion profiles from Supplier C show out-of-tolerance wall thickness — 0.8mm vs 1.0mm spec.",Structural Components,supplier_defect,"Held shipment for MRB review. 60% scrapped. Supplier added in-process gauge check per extrusion run."
"Injection molded connector housings have flash exceeding 0.3mm on parting line. Supplier process unstable.",Connectors,supplier_defect,"Issued CAR to supplier. Required process capability study (Cpk > 1.33). Temporary 100% inspection at incoming."
"Vendor-supplied labels have incorrect UL certification marking — wrong file number printed on 10,000 labels.",Labeling,supplier_defect,"Quarantined all labeled product. Supplier reprinting with correct UL file number. Added label artwork approval step."
"Capacitors from Supplier D failing at 80% of rated voltage during burn-in testing. Failure rate at 12%.",Electronics,supplier_defect,"Switched to qualified alternate supplier. Submitted PPAP requirement for all passive components."
"Raw resin pellets contaminated with metallic particles — found during routine incoming QC sieve test.",Plastics,supplier_defect,"Rejected 2 pallets. Supplier found contamination from shared equipment. Dedicated resin line implemented at supplier."
"Stainless steel tubing received with surface pitting visible to naked eye. Does not meet Ra 0.8 surface finish spec.",Tubing,supplier_defect,"Returned full shipment. Supplier added post-production electropolishing step. Re-qualified with 3 consecutive clean lots."
"Powder coating applied 15 microns below minimum thickness spec on batch #PC-0892. Color also shows visible variation.",Surface Finishing,supplier_defect,"Supplier recalibrated spray guns. Implemented per-batch film thickness recording. Reworked affected batch."
"Thermocouple wire from vendor reads 4°C high at calibration check — exceeds ±1.5°C accuracy requirement.",Sensors,supplier_defect,"Quarantined wire lot. Vendor traced to incorrect alloy composition. Added certificate of conformance verification per spool."
"Heat treatment cycle ran 45 minutes shorter than qualified process window — operator skipped final soak phase.",Heat Treatment,process_deviation,"Retrained operator on full cycle procedure. Added PLC interlock preventing door open before soak timer completes."
"Mixing tank temperature exceeded upper control limit by 8°C for 12 minutes during Batch #MX-3301.",Chemical Processing,process_deviation,"Batch placed on hold for QA review. Thermostat replaced. Added high-temp alarm with auto-shutoff to mixing controller."
"Assembly line torque station not performing mid-shift verification per SOP — 4 hours of production unverified.",Assembly,process_deviation,"Quarantined 4 hours of output. Implemented digital torque verification reminder with line lockout after 2-hour gap."
"Cleanroom particle count exceeded Class 1000 limits during second shift. HVAC filter differential pressure was high.",Cleanroom Operations,process_deviation,"Replaced HEPA filters. Product exposure assessment done — 3 lots held for additional testing. Added daily DP check to logbook."
"Soldering wave machine temperature drifted 15°C above setpoint for 20 minutes — PCBs may have thermal damage.",Electronics Assembly,process_deviation,"Segregated affected boards for X-ray inspection. Replaced faulty thermocouple in wave machine. Added redundant temp sensor."
"CNC lathe feed rate set to 120% override during night shift — not authorized per process sheet. Parts show tool marks.",Machining,process_deviation,"Scrapped 45 parts. Removed operator override capability above 100%. Night shift supervisor counseled."
"Wrong flux concentration used in solder bath — 2.8% vs required 3.5%. Discovered during weekly titration check.",Electronics Assembly,process_deviation,"Evaluated 5 days of production for cold solder joints. 2% rework rate found. Automated flux concentration monitoring installed."
"Painting booth humidity was 78% during application — spec requires <65%. Paint adhesion failures on 30 units.",Surface Finishing,process_deviation,"Stripped and repainted affected units. Installed humidity interlock — line auto-stops above 65% RH."
"Autoclave sterilization cycle showed 2-minute pressure drop during hold phase — biological indicator not checked.",Sterilization,process_deviation,"Entire load quarantined. BI testing done retroactively — passed. Added pressure transducer alarm for hold phase deviation."
"Anodizing bath pH measured at 1.8 — process window is 1.2–1.5. Operator did not check before running parts.",Surface Treatment,process_deviation,"Scrapped 200 anodized parts. Implemented mandatory pre-batch pH check with sign-off in batch record."
"Welding gas flow rate found at 8 L/min instead of required 15 L/min. Porosity detected in weld X-rays.",Welding,process_deviation,"Cut out and rewelded affected joints. Flow meter recalibrated. Added pre-weld gas flow verification to setup checklist."
"Cure oven conveyor speed set 20% faster than validated parameter. Adhesive bonds failing pull test.",Adhesive Bonding,process_deviation,"Segregated and retested all product from shift. 40% failed — scrapped. Speed control locked to validated setting."
"Hydraulic press #3 failed mid-cycle — lost pressure at 80% of required forming force. 15 parts deformed.",Stamping,equipment_failure,"Replaced failed hydraulic pump seal. Parts scrapped. Added predictive maintenance oil analysis schedule for all presses."
